ts_code,symbol,name,industry
000981.SZ,000981,山子股份,汽车配件
000982.SZ,000982,中银绒业,电气设备
000983.SZ,000983,山西焦煤,煤炭开采
000985.SZ,000985,大庆华科,化工原料
000987.SZ,000987,越秀资本,多元金融
000988.SZ,000988,华工科技,专用机械
000989.SZ,000989,九芝堂,中成药
000990.SZ,000990,诚志股份,化工原料
000993.SZ,000993,闽东电力,水力发电
000995.SZ,000995,皇台酒业,白酒
000996.SZ,000996,*ST中期,汽车服务
000997.SZ,000997,新大陆,IT设备
000998.SZ,000998,隆平高科,种植业
000999.SZ,000999,华润三九,中成药
001201.SZ,001201,东瑞股份,农业综合
001202.SZ,001202,炬申股份,仓储物流
001203.SZ,001203,大中矿业,普钢
001205.SZ,001205,盛航股份,水运
001206.SZ,001206,依依股份,造纸
001207.SZ,001207,联科科技,化工原料
001208.SZ,001208,华菱线缆,电气设备
001209.SZ,001209,洪兴股份,服饰
001210.SZ,001210,金房能源,供气供热
001211.SZ,001211,双枪科技,家居用品
001212.SZ,001212,中旗新材,其他建材
001213.SZ,001213,中铁特货,仓储物流
001215.SZ,001215,千味央厨,食品
001216.SZ,001216,华瓷股份,家居用品
001217.SZ,001217,华尔泰,化工原料
001218.SZ,001218,丽臣实业,化工原料
001219.SZ,001219,青岛食品,食品
001222.SZ,001222,源飞宠物,文教休闲
001223.SZ,001223,欧克科技,专用机械
001225.SZ,001225,和泰机电,专用机械
001226.SZ,001226,拓山重工,工程机械
001227.SZ,001227,兰州银行,银行
001228.SZ,001228,永泰运,仓储物流
001229.SZ,001229,魅视科技,IT设备
001230.SZ,001230,劲旅环境,环境保护
001231.SZ,001231,农心科技,农药化肥
001234.SZ,001234,泰慕士,服饰
001236.SZ,001236,弘业期货,多元金融
001238.SZ,001238,浙江正特,家居用品
001239.SZ,001239,永达股份,工程机械
001255.SZ,001255,博菲电气,化工原料
001256.SZ,001256,炜冈科技,轻工机械
001258.SZ,001258,立新能源,新型电力
001259.SZ,001259,利仁科技,家用电器
001260.SZ,001260,坤泰股份,汽车配件
001266.SZ,001266,宏英智能,电器仪表
001267.SZ,001267,汇绿生态,建筑工程
001268.SZ,001268,联合精密,机械基件
001269.SZ,001269,欧晶科技,矿物制品
001270.SZ,001270,铖昌科技,半导体
001278.SZ,001278,一彬科技,汽车配件
001282.SZ,001282,三联锻造,汽车配件
001283.SZ,001283,豪鹏科技,电气设备
001286.SZ,001286,陕西能源,火力发电
001287.SZ,001287,中电港,元器件
001288.SZ,001288,运机集团,专用机械
001289.SZ,001289,龙源电力,新型电力
001296.SZ,001296,长江材料,其他建材
001298.SZ,001298,好上好,元器件
001299.SZ,001299,美能能源,供气供热
001300.SZ,001300,三柏硕,文教休闲
001301.SZ,001301,尚太科技,电气设备
001306.SZ,001306,夏厦精密,机械基件
001308.SZ,001308,康冠科技,元器件
001309.SZ,001309,德明利,半导体
001311.SZ,001311,多利科技,汽车配件
001313.SZ,001313,粤海饲料,饲料
001314.SZ,001314,亿道信息,元器件
001316.SZ,001316,润贝航科,批发业
001317.SZ,001317,三羊马,仓储物流
001318.SZ,001318,阳光乳业,乳制品
001319.SZ,001319,铭科精技,汽车配件
001322.SZ,001322,箭牌家居,家居用品
001323.SZ,001323,慕思股份,家居用品
001324.SZ,001324,长青科技,运输设备
001326.SZ,001326,联域股份,电气设备
001328.SZ,001328,登康口腔,日用化工
001330.SZ,001330,博纳影业,影视音像
001331.SZ,001331,胜通能源,仓储物流
001332.SZ,001332,锡装股份,专用机械
001333.SZ,001333,光华股份,化工原料
001336.SZ,001336,楚环科技,专用机械
001337.SZ,001337,四川黄金,黄金
001338.SZ,001338,永顺泰,啤酒
001339.SZ,001339,智微智能,IT设备
001358.SZ,001358,兴欣新材,化工原料
001360.SZ,001360,南矿集团,工程机械
001366.SZ,001366,播恩集团,饲料
001367.SZ,001367,海森药业,化学制药
001368.SZ,001368,通达创智,文教休闲
001373.SZ,001373,翔腾新材,元器件
001376.SZ,001376,百通能源,供气供热
001378.SZ,001378,德冠新材,塑料
001379.SZ,001379,腾达科技,机械基件
001380.SZ,001380,华纬科技,汽车配件
001387.SZ,001387,雪祺电气,家用电器
001696.SZ,001696,宗申动力,摩托车
001872.SZ,001872,招商港口,港口
001896.SZ,001896,豫能控股,火力发电
001914.SZ,001914,招商积余,房产服务
001965.SZ,001965,招商公路,路桥
001979.SZ,001979,招商蛇口,全国地产
002001.SZ,002001,新和成,化学制药
002002.SZ,002002,ST鸿达,化工原料
002003.SZ,002003,伟星股份,服饰
002004.SZ,002004,华邦健康,农药化肥
002005.SZ,002005,ST德豪,家用电器
002006.SZ,002006,精工科技,专用机械
002007.SZ,002007,华兰生物,生物制药
002008.SZ,002008,大族激光,专用机械
002009.SZ,002009,天奇股份,工程机械
002010.SZ,002010,传化智联,仓储物流
002011.SZ,002011,盾安环境,家用电器
002012.SZ,002012,凯恩股份,造纸
002014.SZ,002014,永新股份,塑料
002015.SZ,002015,协鑫能科,新型电力
002016.SZ,002016,世荣兆业,区域地产
002017.SZ,002017,东信和平,通信设备
002019.SZ,002019,亿帆医药,化学制药
002020.SZ,002020,京新药业,化学制药
002021.SZ,002021,*ST中捷,纺织机械
002022.SZ,002022,科华生物,医疗保健
002023.SZ,002023,海特高新,航空
002024.SZ,002024,ST易购,电器连锁
002025.SZ,002025,航天电器,元器件
002026.SZ,002026,山东威达,机械基件
002027.SZ,002027,分众传媒,广告包装
002028.SZ,002028,思源电气,电气设备
002029.SZ,002029,七匹狼,服饰
002030.SZ,002030,达安基因,医疗保健
002031.SZ,002031,巨轮智能,汽车配件
002032.SZ,002032,苏泊尔,家用电器
002033.SZ,002033,丽江股份,旅游景点
002034.SZ,002034,旺能环境,环境保护
002035.SZ,002035,华帝股份,家用电器
002036.SZ,002036,联创电子,元器件
002037.SZ,002037,保利联合,化工原料
002038.SZ,002038,双鹭药业,生物制药
002039.SZ,002039,黔源电力,水力发电
002040.SZ,002040,南京港,港口
002041.SZ,002041,登海种业,种植业
002042.SZ,002042,华孚时尚,纺织
002043.SZ,002043,兔宝宝,其他建材
002044.SZ,002044,美年健康,医疗保健
002045.SZ,002045,国光电器,元器件
002046.SZ,002046,国机精工,机械基件
002047.SZ,002047,宝鹰股份,装修装饰
002048.SZ,002048,宁波华翔,汽车配件
002049.SZ,002049,紫光国微,半导体
002050.SZ,002050,三花智控,家用电器
002051.SZ,002051,中工国际,建筑工程
002052.SZ,002052,ST同洲,电气设备
002053.SZ,002053,云南能投,食品
002054.SZ,002054,德美化工,染料涂料
002055.SZ,002055,得润电子,元器件
002056.SZ,002056,横店东磁,矿物制品
002057.SZ,002057,中钢天源,矿物制品
002058.SZ,002058,威尔泰,电器仪表
002059.SZ,002059,云南旅游,旅游景点
002060.SZ,002060,广东建工,建筑工程
002061.SZ,002061,浙江交科,建筑工程
002062.SZ,002062,宏润建设,建筑工程
002063.SZ,002063,远光软件,软件服务
002064.SZ,002064,华峰化学,化纤
002065.SZ,002065,东华软件,软件服务
002066.SZ,002066,瑞泰科技,其他建材
002067.SZ,002067,景兴纸业,造纸
002068.SZ,002068,黑猫股份,化工原料
002069.SZ,002069,獐子岛,渔业
002072.SZ,002072,凯瑞德,商贸代理
002073.SZ,002073,软控股份,专用机械
002074.SZ,002074,国轩高科,电气设备
002075.SZ,002075,沙钢股份,特种钢
002076.SZ,002076,星光股份,家用电器
002077.SZ,002077,大港股份,半导体
002078.SZ,002078,太阳纸业,造纸
002079.SZ,002079,苏州固锝,半导体
002080.SZ,002080,中材科技,玻璃
002081.SZ,002081,金螳螂,装修装饰
002082.SZ,002082,万邦德,中成药
002083.SZ,002083,孚日股份,纺织
002084.SZ,002084,海鸥住工,家居用品
002085.SZ,002085,万丰奥威,汽车配件
002086.SZ,002086,*ST东洋,医疗保健
002087.SZ,002087,*ST新纺,纺织
002088.SZ,002088,鲁阳节能,矿物制品
002089.SZ,002089,*ST新海,通信设备
002090.SZ,002090,金智科技,软件服务
002091.SZ,002091,江苏国泰,商贸代理
002092.SZ,002092,中泰化学,化工原料
002093.SZ,002093,国脉科技,通信设备
002094.SZ,002094,青岛金王,日用化工
002095.SZ,002095,生意宝,互联网
002096.SZ,002096,易普力,化工原料
002097.SZ,002097,山河智能,工程机械
002098.SZ,002098,浔兴股份,服饰
002099.SZ,002099,海翔药业,化学制药
002100.SZ,002100,天康生物,饲料
002101.SZ,002101,广东鸿图,汽车配件
